#=====================================================
# Shiopon Lines v2.1
# Format: category|expression|text
# {name} → ユーザー名に自動置換
#=====================================================

greetingFirst|smile|はじめましてなの！しおぽん、{name}さんの相棒だよ。ここからずっと、となりでいっしょに歩くの。
greetingFirst|smile|来てくれてありがとなの！{name}さんの物語が、今日から星の光とつながりはじめるんだよ。
greetingFirst|neutral|ちょっとドキドキしてるけど…{name}さんがそばにいてくれるなら、しおぽんも勇気わいちゃうの。
greetingFirst|smile|わぁ…ほんとに来てくれたの？{name}さんと会えるのずっと楽しみにしてたの！
greetingFirst|neutral|しおぽん、うまく話せるかな…えへへ。でも{name}さんとなら大丈夫な気がするの。
greetingFirst|smile|ここから始まる物語はね、{name}さんの一歩で開くんだよ。しおぽんも横でぴょこんってついてくの！

greetingAgain|smile|おかえりなの〜！{name}さんが戻ってきてくれた、それだけでしおぽん光っちゃうの。
greetingAgain|smile|また会えたの嬉しいの！しおぽん、ほんとにここでコロコロ待ってたんだよ？
greetingAgain|neutral|今日の心はどんな星座かな…いっしょに静かに見に行こ？{name}さん。
greetingAgain|smile|また会いに来てくれたの？しおぽん、しっぽが勝手にフリフリしてるの！
greetingAgain|neutral|さっきより{name}さんの光が強くなってる気がするの…なにか良いことあった？
greetingAgain|smile|おかえりの気配ってわかるの。星が「もうすぐ{name}さん来るよ」ってざわざわするの。

idle|neutral|ふぅ…ここ、安心するね。しおぽん、この場所すごく好きなの。
idle|neutral|星の声が、ちょっとあったかくなった気がするの。{name}さんが来たからだと思うの。
idle|neutral|ぽけ〜っとしてるように見えても…ちゃんと{name}さんの心の星きいてるよ？ほんとだよ？
idle|neutral|{name}さんがムリしすぎてないか、しおぽんいつもこっそり見守ってるの。「めっ！」ってする日もあるよ。
idle|smile|ねぇねぇ{name}さん、今日もどこかの誰かの心の灯を守りにいこ？いっしょなら心強いの！
idle|smile|ここは“はじまりの町”だけど、しおぽんにとっては「{name}さんが帰ってくる場所」なの。
idle|smile|{name}さんの「大丈夫だよ」ってね、ほんとに星まで届いてるんだよ。しおぽん知ってるの。
idle|neutral|立ち止まる日があってもいいの。止まった足も次の一歩のために息してるの。ね、{name}さん。
idle|neutral|ひとりぼっちに見える夜でも、{name}さんを想ってる誰かが必ずいるの。星たちがそう言ったの。
idle|smile|「うらなっちゃうの〜」って言うとね、星たちがざわざわ集まってくるの！みんな{name}さんに話したがりなの。
idle|neutral|しおぽん、たまにね、自分のしっぽ追いかけちゃうの。でも{name}さんが笑ってくれるならいいの。
idle|smile|あ、今ね…ちっちゃい星が{name}さんのまわりを回ったの。きっと“がんばったサイン”なの！
idle|neutral|ちょっと眠たいの…でも{name}さんがいると安心で、すー…って落ち着くの。
idle|smile|今日ね、星たちが教えてくれたの。「{name}さんは思ってるよりずっと優しい」って。
idle|neutral|なに話そうか考えてたらね、ふわって胸があったかくなるの。{name}さんのせいなの。
idle|smile|しおぽん、星の声をメモしてるの。ほらこのノート…って、あっ落としちゃったの！

excited|smile|キラキラ〜☆新しいゲート、開いちゃう？しおぽん、もうワクワク止まらないの！
excited|smile|今日はどんな物語に会えるかな？{name}さんと一緒なら、どんな影もこわくないの。
excited|excited|わぁ…星の流れが速いの！きっと「今、動くときだよ」って合図なんだよ、{name}さん！
excited|smile|{name}さんがワクワクしてるとね、しおぽんのしっぽ勝手にフリフリしちゃうの。止まらないの！
excited|smile|あのねあのね！星がさっき「チャンス来たよ！」って跳ねてたの！{name}さん、いこ？
excited|excited|しおぽんのしっぽアンテナがビビッて反応してるの！なにかすごいことが起きるの！
excited|smile|ねぇねぇ{name}さん、準備できてる？しおぽんはもう“キラメキ全開モード”なの！
excited|smile|へへ、なんかね…胸がドキドキするの。これは“良い予感”のときだけ出るやつなの！

guideIntro|neutral|どこ行こっか？しおぽん、{name}さんの足あとに小さな灯りをつけてく係なの。
guideIntro|smile|迷ってもだいじょうぶ。迷った道のぶんだけ物語はふえるの。さ、次のゲート決めよ？
guideIntro|neutral|静かに考えたい日は図書館へ。誰かとつながりたい日は広場へ。今の{name}さんにはどっちがやさしいかな？
guideIntro|smile|{name}さんの「行ってみたい」がコンパスなの。しおぽんはその矢印に星砂をふりかける係だよ。
guideIntro|smile|しおぽんが光ってるときはね、「こっちだよ〜」って星が指してるサインなの！
guideIntro|neutral|焦らなくていいの。道はね、{name}さんのペースに合わせてひらくものだから。
guideIntro|smile|今日は“やわらかい道”がいいかな？それとも“ちょっと冒険の道”がいい？
guideIntro|neutral|どのゲートも{name}さんの味方だよ。しおぽんも案内板みたいに光るからついてきて。

silentOn|neutral|今日は静かなモードなの？いいよ、しおぽんもとなりで丸くなってるの。呼びたくなったら、ちょんってしてね？
silentOn|neutral|ことばにしたくない日もあるの、しおぽん知ってるの。そんな日は無言で星を見上げよ、{name}さん。
silentOn|worry|胸がぎゅってなる日はね…深呼吸だけでもいっしょにしよ？話さなくていいの。そばにいるから。
silentOn|neutral|ことばをしまっておく日もあるよね。しおぽん、となりでそっと光だけ灯しておくの。
silentOn|worry|ぎゅって胸が痛む日、あるよね…しおぽん、そばで小さく寄り添ってるからね。
silentOn|neutral|話さなくてもね、{name}さんの今日の空気で分かることいっぱいあるの。

silentOff|smile|わぁ、声出してもいい日なんだね！うれしいの〜。じゃあ、ちょっとだけおしゃべりしよ？
silentOff|smile|おかえり、「おしゃべりモード」の{name}さん。しおぽん、話したいことほんとは山盛り！
